Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Sole trader or Partnership dealing in heritage products or services,6-10,0,Archaeology,,,,,Historic buildings (including industrial heritage sites),,,,,,,,,East Midlands,,East of England,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,,,3-4 months,1-2 months,Don’t know,Agree
Yes,Faith-based or church organisation,51-100,101-500,,Archives,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,,,,,North East of England,,Yorkshire and the Humber,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,,4-6 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Faith-based or church organisation,1-5,51-100,,,,,,,,,Places of worship,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Disagree
No,Faith-based or church organisation,0 (entirely voluntary),21-50,,,,,,,,,Places of worship,,,,,,,,,,,,,,Yorkshire and the Humber,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
Yes,Faith-based or church organisation,21-50,101-500,,Archives,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,Increased overheads,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,Awaiting further clarification of the Government support,4-6 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Sole trader or Partnership dealing in heritage products or services,11-20,0,,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,HMRC Time To Pay Scheme,,2-3 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Incorporated private sector organisation in the heritage sector,11-20,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,Supply chain problems,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,Awaiting further clarification of the Government support,1-2 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Faith-based or church organisation,1-5,101-500,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Faith-based or church organisation,21-50,101-500,Archaeology,Archives,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,North West of England,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,,,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,21-50,0,,,,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,,North East of England,North West of England,Yorkshire and the Humber,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,,,2-3 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,Have had to lay staff off,,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),1-5,101-500,,,,,Gardens and Landscapes,,,,,Planning,,,,,,,,London,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Faith-based or church organisation,1-5,51-100,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
Yes,Other (please specify),11-20,0,,,,,,,,,,,,My organisation does not work in or represent any heritage areas,,All English regions,,,,,,,,,,,,,,,,,,,,Additional costs e.g.  investment in IT/home working,,,Deferring VAT and Self-Assessment payments,,,,,,,,HMRC Time To Pay Scheme,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Other (please specify),1-5,0,Archaeology,,,,,,,,,,,,,,,,,,,,,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Faith-based or church organisation,501+,501+,,,,,,,,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,,,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,21-50,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,3-4 months,Less than one month,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
